,sentiment,content
894,happiness,OMJ JUSt qOt HOME fROM tHAt PARty! it'S 2:OO a.m! i'M MAN tiRED! GOODNiqHt AND HAPPY MOtHER'S DAY 2 ALL!!! tAkE CARE &amp; GOD BlESS!
917,happiness,@Tpearson44 me toooooo! Thank u
930,happiness,flashlight tag!  i love playing games in the dark.
934,happiness,Liam peed in the potty!!
936,happiness,Going to IKEA with the roomie so she can shop for her apartment. IKEA is in like my top ten stores that I love
937,happiness,I'm off to Costco in a bit to print off more photos for my photobook
948,happiness,@menchuly it's Friday and sweldo day too
953,happiness,@tagscats thanks! You know that happens once in awhile
959,happiness,good morning  finally a day of sunshine for my summer hol!  away to watch the footie in the sun  x
967,happiness,about to go to acting school  yayay
968,happiness,@tarabellejeanne awhhh It was so nice to see you.
974,happiness,@DonnieWahlberg sounds like you all had a great night . i'm glad it was successful
980,happiness,"1 surprise party today, 2 parties tomorrow.  FunFunFun! But, need to finish bug project. O_O"
986,happiness,If I smile at you will you follow me please lol
989,happiness,may the 4th be with you! HAPPY STAR WARS DAY!
1002,happiness,@thereisaseason It's fun to see that glimpse of your life
1011,happiness,@BrunnaXO don't be worried! I'm safe and sound!  &lt;3 you!
1036,happiness,@abiFACE thanks for havin us overrr!
1078,happiness,Im fine also..up way to early..lol...soo those r all ur dogs? to kut3 ..i def want a pit! lol
1084,happiness,@akarra if you weren't &quot;picky&quot; (=precise) i might not find you as interesting to talk to
1101,happiness,@taufiqz I watched that too! I liked it
1117,happiness,@capemaybooks alright don't want you to overdue it now. LOL you are funny  nite nite
1122,happiness,@junelover just email em to the email i gave u thanx awesome person
1124,happiness,Here's a big moan for Dave Leyrock... IM UP IN 8HRS!  pity me! Coloursfest ahoy xo
1136,happiness,We have tons of updates including pics of Rob from yesterday. Check them out  www.robsessedpattinson.com
1147,happiness,.. good morning peoplee  looks like it's going to be a nice day today! better than last week it was raining =(.
1150,happiness,"barely awake, eating breakfast.. marathon morning!   Good luck to all the racers, and happy Mother's Day!"
1153,happiness,Just got to school. Goin to Cinncinatti Wednesday!
1161,happiness,@carljohnston
1167,happiness,"Loving the sun today, even thought I should be revising. Not a good day though, been at Kates all afty, shit day for her bless her  x"
1171,happiness,"@elysion32  I am here to make friends.. real life, internet.. what ever level people are comfortable with.."
1187,happiness,@moneymakn1 Thats actually not that fun as you would think... I was hurting for a week after a similar experience.
1193,happiness,Had a nice dinner with mom! I've started the chicken rolls. They are going to cook overnight. The rest I'll do tomorrow.
1209,happiness,"Finally X-Men Origins: Wolverine arrived, Time to play the game like a mad man, And then it's time for the review  /Patrick"
1211,happiness,"@besz Well, good luck then."
1216,happiness,I'm feeling better now that I have something in my tummy
1217,happiness,3oh!3 on the radio  they were amazing yesterday.
1221,happiness,headed to the beach with puppy maverick hugs and much aloha
1227,happiness,good night! im off to sleeep!!!! 5 am  good mornining! xD
1254,happiness,@Sarah_LeAnn if it makes you feel better im studying on a sat night w/o blackberries
1260,happiness,@amhartnett That sounds like fun
1264,happiness,"i'm in the garden. Making pictures, weed an sweep. The weather is nice!! See you l8ter people!"
1265,happiness,"@hiracdelest who's the one always working now?  oh yeah, still me."
1318,happiness,@babygirlparis all ur pic it's so nice  look so cute..oh!!
1320,happiness,Did anyone go photographing today? I managed to get a few macro shots of some flowers that were blooming
1334,happiness,"@garageglamorous I agree, 'Paparazzi' waz an amazing vid, I luved it, but felt bad cuz it waz leaked &amp; I watched it"
1343,happiness,"@taylorswift13 woah that's cool  just landed in London about 2 and1/2 hours ago.I LOVE the scenery, beautiful ,"
1346,happiness,"@Monica2112 this is 5 hours late, but i never managaed to sleep properly. i think david tweeting me back earlier is the reason. ahaha"
1358,happiness,Such a fun night. I needed the break. PS- I love you man is effing hilarious! Good night twitter world. Sweet dreams
1361,happiness,"your saaaaafe with mee(8) fucking epic times again last night  old friends and new friendships, good way to kick off this month!"
1365,happiness,@rockonrebelchld Happy mother's day to you as well!  Have a good one!
1379,happiness,@arielm27 Happy happy birthday
1394,happiness,@loonyboi You rule for doing this! I bought the second game at full price and lost it in a move.
1396,happiness,@beeank haha its awesome i always have to use it when i eat
1407,happiness,On my way home. I think i am over him
1415,happiness,"@DrRus @BruceBrownNC Good morning, gents!  How are ya today?"
1416,happiness,Waking Up In Vegas is goooooooooooooooooooooooood
1417,happiness,Selling artwork+ risk game with the boys+ startrek= just what i needed. What a good day
1418,happiness,"i beat aye to the music hall.  babyy, im like the cinnamon that beat the apple to the apple jacks."
1420,happiness,out shopping....
1422,happiness,Archuleta &amp; Cook will arrive in 2 days!!
1427,happiness,@dhughesy safer to say that your cube is now a sphere ... but roll with it buddy ... it is an awesome time ... esp the 1st one
1443,happiness,@jeseekuhluv Yea I think I waited to long. oh well. thats cool. I should have signed up for more but I'm already done with core classes
1444,happiness,In the university with hungry!!
1448,happiness,So much news on more Android based devices - especially on T-Mobile. I'm all giddy and can't wait  (starts saving up) #android #tmobile
1449,happiness,Sleep....take two....this better work!
1451,happiness,"watching shark boy and lava girl! on disney channel. hanging out with sarah jane, micah, &amp; rachel"
1470,happiness,In Paris till friday!!
1474,happiness,@KrystalNichole Pretty good!!! I think I overdid the gym yesterday... other than that just working
1477,happiness,"@jtsui i wish i could sat but thats a super busy day  sunday perhaps? playing football in dolores park too, youre welcome to come hang!"
1500,happiness,watching my new season eleven dvd
1504,happiness,@NajiahYahya YEAY!. haha. thank you so much jiah
1506,happiness,"@Gemma_Rigby Well my neck hurts from moving out  you massage me, i massage u?! lol!"
1511,happiness,which is why i can't wait till i move out of home and life by myself next year  WACKY ADVENTURES EVERY DAY!!!!!
1518,happiness,Drink #2: And at 12:45pm when leaving the shops I had a Medium Light Coffee Frappuccino. Nom nom nom
1521,happiness,@TMills130 aaawww  no worries fresh start to work on growing it out again
1532,happiness,nice hair and nowhere to go
1549,happiness,Lovely walk this morning with the missus; drizzle didn't matter
1554,happiness,it's nice to see my #euruko pictures (http://twurl.cc/xd1) on the big screen during a conference break
1567,happiness,"@cestcassie Aw, that song makes me think of girl scouts."
1569,happiness,@kandeezie would love to see that!
1574,happiness,[-O] i wish the birthday massacre would come to australia  i think they said they're thinking about it tho.. http://tinyurl.com/p6lfch
1575,happiness,Welll my folkiesss(; im offf to dream land;work in the mornin;ugh;ewwy. Talkkk to me;but tomorrow  &lt;3 lurvee ya'll[;&gt;
1578,happiness,Brooklyn!!! We went hard!!! Now back up top!! But 1st Hajji's...yea again  http://tinyurl.com/codla7 http://ti.. http://tinyurl.com/cr8hjs
1583,happiness,@solidmetalsnake that movie is awesome!
1585,happiness,"@AmberCadabra Wow, I haven't watched that movie in ages. It is quite fantastic."
1587,happiness,@CheekyKerri Defo can't wait we will have a nice afternoon and some music
1601,happiness,"Very tired! Dinner good, then churro's were good!"
1604,happiness,writing report cards  soooo tired but what an amazing day. check it out on fb soon!
1609,happiness,@snowed_in I loved that movie! And I miss Raul Julia.
1616,happiness,on my way homee  i love long car rides&lt;3
1622,happiness,@EliteAffairs This was funny! I have 7.
1627,happiness,@AmbersAlerts lol i'll have to look on youtube later  thanks
1631,happiness,Happy Mommy's  Day to all you moms
1644,happiness,@col4man Thanks
1651,happiness,Well good job to my two cousins that are graduates! Good luck in life!!!  &lt;never wear your pajama pants to school  &gt;
1652,happiness,@PeaceDiva Nice! What r ur plans for 2day? Oh n Happy Mothers Day if u happen 2 b a mother
1656,happiness,@joannarobbins You are 'spot on'...I wouldn't tweet without it!! Thanks for your share tonight.
1660,happiness,@TinaS71 It was fun meeting you too Tina!  We'll definitely do it again soon.
1663,happiness,I am hungry already. Not impressed! And everybody has gone to Rubys
1665,happiness,@Roqayah good morning
1685,happiness,Back in Manchester. Whats with the weather? Sweaty
1689,happiness,Just picked up my copies of the printed brochures I did for the BWRC. So excited
1690,happiness,New York from 1500ft looks rather good. Last night in the Big Apple.
1692,happiness,had fun at chel's with nicole and cried watching benjamin button   exciting night i must say
1720,happiness,done watching Slumdog Millionaire.  Great Movie!
1726,happiness,haha wow there's a song called 'hit me on twitter' lmao. okay g'night
1749,happiness,On twikini while enjoying the sun
1761,happiness,either my inerne is fucked or my mind is but i'm pretty sure that it's the internet
1772,happiness,Bye twitter &amp; FB world! I'm at the San Francisco airport ready to board Air China. Not sure if I'll have Internet access
1785,happiness,"@OhaiGabriella O: aw, frank  i like that movie, it's cool. i don't fully understand, but i think that's cool (:"
1788,happiness,@theellenshow @KalebNation twilightguy.com kalebnation.com youtube.com/kalebnation PUT HIM ON THE SHOW! Sry for spamming but we love him
1820,happiness,@andyclemmensen Heyy my teddy bear says i look very pretty and that Blake is to
1827,happiness,"@mcflyyerr yeah that's trueee  i can't wait till the tour dvd comes out, that tour was so epic (: and the backstage material is hilarious"
1833,happiness,Happy Mothers Day to all my fellow mums - have a great day - mine will be spent in my garden with all of my family
1836,happiness,@erzonline Thanx... sorry not trying to rub it in... I just get excited... been working hard to make that dream come true for awhile
1864,happiness,"@michaelmagical #warmfuzzies to you, my friend"
1869,happiness,learn to fly higher...!  http://tinyurl.com/30tools
1870,happiness,@simonrim off to the cheese counter I go! Thanks
1884,happiness,PUSH was amazing
1885,happiness,I am so happy. Keve is here for early Mother's day. Let's be quiet. He drove all night and is sleeping.
1888,happiness,The sun is shining  Have a great day
1907,happiness,@SelenaGomez selena's mom congratulations' have a nice day
1922,happiness,"grrrr, cant even enjoy this b-e-a-utiful day! have to finish that -damned essay for philosophy"
1938,happiness,Viviann's all minee. Yummm
1963,happiness,"Picked up a Jesse Lacey/Kevin Devine/Grace Read bootleg off the net from their acoustic tour, it's really good"
1969,happiness,Feeling like Romeo and Juliet with Bryant and Wallinwood as the Montagues and Capulets...   #fb
1974,happiness,@AndreasHale yeah !!
1989,happiness,Good Morning everyone!  Have a great Monday!  Thanks for following!
2003,happiness,@Shaunie_O Awesome! My family owns it...The Flowers.. and we love having your kids there! They seem to have lots of fun!!
2011,happiness,"@gnimsh forgot to answer your kindle question yesterday. honestly, haven't used it much. have two paperback books i want 2 read first."
2012,happiness,Good Morning Everyone. !.!. Time for work
2020,happiness,"Up, I slept in till 11.02 !!! Shooting a new vid today"
2059,happiness,@santoscarmen that's a lot of mangoes.. haha  baka naglilihi ka ahh?? haha  joke lang carmen
2065,happiness,call me einstein. got math test results: A-  hell yesss
2069,happiness,"@bztak1020 actually, my friend gave me the files today! lol but those are all CDA files... do u know how to convert them to MP3?"
2076,happiness,@alphonso I'm in SF right now
2090,happiness,@xHayleeey they are finally getting ready i see on msn  ahaha  have fun fun fun
2094,happiness,More pictures! It was such a pretty day  http://tr.im/kWOD #fb
2095,happiness,had such a fun time with allegra tonite!!! we saw 17again!! good movie
2102,happiness,Watching Groove the movie with @mikecase my hubby!
2105,happiness,Watching Everything Is Illuminated  and dreaaaming&lt;3
2107,happiness,Watching superbad with brit
2121,happiness,"one of my favorite, most relaxing songs to wake up to: http://tinyurl.com/c8fr3e Good morning."
2135,happiness,@jadeofjades www.youtube.com/watch?v=CyJvgnP9-vA sowwwwyy! U girls make me twisted all time
2138,happiness,manang is back! had a great dinner!  super busog :O
2140,happiness,Woo! Nachos AND ice cream  haha
2142,happiness,happpppy mothers day
2161,happiness,Happy Mother's Day to all my favorite moms.
2183,happiness,"@gfalcone601 def cheese and onion  however after being back in the states for 4 months, finding a bag of salt&amp;vinegar...they tasted GREAT!"
2184,happiness,@dmcox fantastic day in the AZ sun
2187,happiness,@great_northern http://twitpic.com/4wiqv - Awwww she looks like one of my kitty  little furry balls are the best!
2197,happiness,happy superwomans day !
2229,happiness,Im so full. Subway was bomb! Waiting for my 2nd shift to start
2231,happiness,I'm really happy...and drunk  but really happy
2235,happiness,"@MissxMarisa we had scones this afternoon!! they were great  we're gonna make cupcakes this week, on Wednesday!"
2261,happiness,"had fun tonight ^^ make up, pillow fights and skins. wish i could have stayed over"
2294,happiness,@shakeitblueyes good
2296,happiness,Waking up .....working....Happy as can be!  Its gonna be a great day today... I can see it..and im not sore from Running yesterday!!!
2298,happiness,@EMarketingGuru Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy
2303,happiness,"@HoptonHouseBnB Sorry, not meaning to complain, feeling rough and heat getting to me again tonight  Would love to be visiting India though"
2307,happiness,May the 4th be with you! Hahahaha that'll neverrr get old
2311,happiness,Happy to see Kurt spin.
2320,happiness,"reviews done, 30 new sentences, 100+ iknow done wow on a role"
2321,happiness,A long day with the family.   I'm so tired now.  Had fun!
2323,happiness,Dollhouse was saved!!! Its coming back for another season!!! Too bad scrubs isn't
2333,happiness,@elliottja ha! Apparently I talk with a posh accent according to the ppl I saw in the Shire last+dressed very feminely! Makes you chuckle
2340,happiness,@casndra okayy mail me thenn  Lol im hyperrr too much candy &amp;&amp; Jello x]
2345,happiness,@kimberlynicole Yay!!! I'm so happy you got to meet her!
2350,happiness,@HiveMindMovie and Miss Fizzy Duck loves Hive Mind too
2354,happiness,"Latest: Saw Animal Collective in Oakland and they were AMAZING! Now, I am trying to clean my room"
2357,happiness,inFamous on the PS3 = AWESOME. My eyes are so sore now though
2364,happiness,"@cowpunkmom Sweet deal! I so want to see that movie! Methinks we may have to do a Star Trek movie night some time, hmm?"
2384,happiness,walking home listening to music and singing to myself. :d Six feet under the stars
2391,happiness,@jessejane looks to be a great morning already!
2393,happiness,@merlehenge the lost cost is a total plus.  Nutella is like peanut butter mixed with chocolatey goodness. yumm. ^^
2402,happiness,NITE PEOPLES!!!!!
2407,happiness,Also I was conviced to do a happy dance and then told it was the most adorable happy dance ever
2409,happiness,Is FINALLY having dinner... At Nishiki Sushi!
2416,happiness,"@RealBillBailey it really made my night. infact, it made my weekend! well done."
2421,happiness,6th street was amazing this weekend!!! The wedding was fantastic.. but im really really tired at work from the long eventful weekend
2433,happiness,Is happy...Skool just let out..! Today was my last day..! Yippee! R.I.P Jackson Tyler Morris..! Always Loved And Never Forgotten..!
2449,happiness,"@keza34 cool, your too good to me you know"
2452,happiness,@Rove1974 looking forward to the show tonight. Can't wait for ol mate @DHughsey to
2458,happiness,@boredgirl260 did he ask for your Twitter ID? Your sun sign?
2464,happiness,"@adneonheart oh my god, i finally found someone online! haha"
2471,happiness,mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus
2477,happiness,@CharlieCurve Wait - cool AND a sliding door? That's an oxymoron.
2479,happiness,"@Narelle_NZ busy,fun mother's day thanks  got what I wanted...a Wii Fit!!! Yay"
2491,happiness,Good night everyone...... Time to go mimmiz......
2496,happiness,Trying to shop online wis I could find sevens for 40.  haha
2499,happiness,@apizzle86: thanks!  and you being #80 just made my morning!
2501,happiness,"http://twitpic.com/4jcwm - YES, my #ubook Lenovo T400 finally arrived!"
2529,happiness,@natsnapper Thanks   Our little girl just loves animals so all the 'oohs' and 'aahs' were very cute!
2536,happiness,Just finnished my Double Cheeseburger. It was good  Ready to watch the Spanish F1
2538,happiness,afternoon. have the first rehearsal with this (extremely talented) singer-songwriter today. wish me luck
2543,happiness,Yes we Can  make it ......Obama
2554,happiness,lol @ kalahari.net marketing - &quot;may the 4th be with you&quot;
2575,happiness,"@Rliversidge Great stuff, can't wait to hear it!"
2586,happiness,"@ssnape Yes, though perhaps I wasn't thinking. I like vague. It seems a popper term for you."
2594,happiness,@dopenhagen are you in KL? I am  up for a drink?
2595,happiness,happy mother's day!
2596,happiness,@Kitty4Peace how fun!  where is the twitpic! I had purple hair once...
2597,happiness,Chatting with matt from mercy mercedes lol.
2603,happiness,@ComedyQueen LOL it's overcast but otherwise ok. I'm tired but otherwise ok
2611,happiness,@irishprincess41 it was great to meet ya katie...awesome shows for sure!! Safe travels home.
2613,happiness,Had the Best lazy/really productive day ever. So many options lay ahead of me.  My only job is prioritize them  Thank u universe. -Luv DD
2615,happiness,"Whew, the first night and day of summer were.....very sad  But, I have Jess's grad party to go to tonight!!!"
2617,happiness,Gotta buy some onesies for my besties lol ah Yea!  at the club having a grand ol time
2619,happiness,@Ginchan: AWW! Thank you honey.. Didja get mommy a daddy?
2625,happiness,"Good morning!! Gonna clean the house a bit, then maybe clean some more, then do nothing for the rest of the day"
2628,happiness,yeaaaah tangerang in vacation
2637,happiness,back to work on a beautiful sunny day
2638,happiness,Just like the old days  drinkin at the old spot .
2644,happiness,@thebraysmommy thx! Hoping it's a good week.
2645,happiness,"traveling alone makes i meet new people,new circle ..strangers become friends"
2653,happiness,"@cindeelean I wake up at 4:30 during the week - and funny, Deathcab makes me think of you!  (&amp; I use your calendar to track work hours)"
2657,happiness,Just got done turning in my pre-final project for my computer animation class. Final is due on Tues. Only 2 more classes or 6 more weeks.
2659,happiness,"Photo: jdperry: Seriously, theseï¿½pictures make my day.  Hahaha. Iï¿½always just go aroundï¿½saying ï¿½OMG did you... http://tumblr.com/xzn1pir8s"
2662,happiness,Nobody ever @mandagh' s   makes me sad
2670,happiness,"@iamkhayyam Haha, i came home from a long night out, and all i saw on Tweetie was Khayyam Wakil. I usually don't announce and shit - LOL"
2673,happiness,@JessMcFlyxxx gdgd well i better go and get ready for work :| haha have fun tonight  x x
2675,happiness,Hey there! It's a glorious morning! Monday's animation mode: ON!
2681,happiness,Packing gym bag. Off to the gym in a bit. Squee! I'm my happiest whem I'm on the go.
2693,happiness,its raining!! gng for rain dance
2694,happiness,i won because im awesome
2707,happiness,@PetiteAntoin oh that's cool   Thanks!!
2716,happiness,"happy bank holiday monday twitter! bath time, spring clean, movie marathon , lazy day"
2728,happiness,Covering my portfolio to send to my *dream job* in ny! Send good vibes!
2742,happiness,will maybe have my cell phone soon ! Yeah !
2743,happiness,@LGDADON it makes perfect sense. I guess i am very down to earth. Thanks for your reply
2750,happiness,@UniqueMakis Awesome! Wish I could fly out to see her
2752,happiness,"crap. have to break my &quot;no work in weekend&quot; rule  so much overloaded with work. aargh, hate it!"
2764,happiness,@kadambariyer thanks.. that was quick..
2775,happiness,"@tenotch awesome, I'm glad you like it.  FYI - Platinum Notes 3.0 should be out as a free upgrade this summer"
2781,happiness,@me_chiel Well...I would love to have a Zoo! ;P Dont think I can be there sunday.  But sometime I will !I want to!
2783,happiness,Dump your worries in the Stress Fire. Fun and profoundly freeing  http://budurl.com/c765
2787,happiness,Mango Medley has yummy mango and mango ice cream!
2790,happiness,?????????????????????YAY it works haha
2792,happiness,@JamesScholes Yes. We have a copyright exemption we're apparently trying to ensure the rest of the world doesn't have.  #sccr18
2812,happiness,"@ferrao California waiting, every little thing's gotta be just right ? Putz, adoro essa banda"
2824,happiness,enjoying my new car
2828,happiness,Two week extension on contract ... I'm ready for it to be done
2837,happiness,a sunny day brights up the day!
2843,happiness,Listening 2 music @ home all alone lol  who wants 2 come over &amp; hang with me LOL!!
2847,happiness,"@lurkey hahaha chivalry's not dead, just rare"
2872,happiness,@jennyinmaui I just read your twitter bio. Love it. Very clever and cute. I'm all about smiles.
2874,happiness,@echoinghim it was my pleasure playing guitar for you!  So fun
2877,happiness,@JessMcFlyxxx that would be an idea  haha xx
2878,happiness,@khanserai Thank you  and hope you are having a great day
2891,happiness,The wedding couldn't have been more perfect
2896,happiness,@rebeccao372 Thats ok  Yeah I had a good night thanks. Glad you did too. Hope you enjoy your BBQ
2913,happiness,"@KimberlySMoore It's good they're realistic, but I still don't like thinking about it!!!"
2919,happiness,@ralphp eagerly anticipating twitpics
2921,happiness,Averaged $31 per hour at work today! Gotta love holidays
2932,happiness,@marimcfly morning!!!! happy #juddday
2934,happiness,@Wildchickendew muhahaha you've joined the tweet cult... lol heya  btw twitterific is a good iphone app i use
2938,happiness,Oh snap... kinda nuts right now... @basedmagazine:  I've told at least 27  Thanks babes.
2944,happiness,"@teamwinnipeg  Gerry, THANK YOU for following me!..help spread the news...further...I think this will be cool...thank u thank u thank u!"
2957,happiness,@sabrina215 YES!! cant wait. hope these vip passes help since people already campin out hahah
2970,happiness,http://twitpic.com/4jj4j - Birthday Breakfast! Yummm- chai &amp; an apple fritter
2975,happiness,Had Sbarro for dinner and Krispy Kreme for dessert. Mmmmm! But so not very healthy.
2976,happiness,family bbq today &amp; my fave cousin comes too
2981,happiness,"@Turch Aww, congrats to the family. ;) Send me piccies in the email!"
2983,happiness,@DutchReaganite Then I'll need plenty of quizzes to get through the work day.
2984,happiness,@redrobinrockn next one for you!
3012,happiness,@mileycyrus cool and aww
3025,happiness,"@missdaisymusic is ben! got yourself a twitter, good work"
3036,happiness,@blondiepops oooh sounds yummy.  If you get a chance to take some pics  please add them to the website as we don't have many pies on there
3041,happiness,@soundeffect haha that's awesome!!! Would be cool in a horror movie death scene  Maybe not cool....but amusingly ironic
3054,happiness,brendon thinks i'm lame..but i'm just drunk!
3078,happiness,@MarvetBritto Awesome! that's how I wanna roll when I become mogul status
3080,happiness,140 pages and i'm done with eclipse!
3082,happiness,@yinawu Happy Mother's Day  http://bit.ly/iJm54  (my friends made the video)
3083,happiness,I'm a 100% Reagan con according to this quiz http://quizfarm.com/run.php/QuizRunner
3084,happiness,Ready to crash!...had a great day and a FUN night! I couldn't ask for anything more  Night!
3094,happiness,Always thinking about to look for a good place to appericiate everyone who supports me on every site I joined
3121,happiness,Going for a ride! Perfect night to go out and chill
3122,happiness,eating my tito's home made ice cream  yum!
3123,happiness,"shopping with @curlysue69x tonight, cant wait!  Lucky bastard @jayrunway has already finished work  im stuck here forever!"
3125,happiness,http://twitpic.com/4ws3m - I love family guy  2 hours of work to go..
3141,happiness,@Mansur_Rahal Thing about living is that there are always undeveloped pictures in your future.
3149,happiness,OMG 17 again... I'm so buying that on DVD   Yeahness for another good movie  Also thanks to my movie buddies :]
3156,happiness,to the doctor  anyone wanna do somethin after for a bit?
3169,happiness,@rhettroberts haha best thing about office birthdays hey
3189,happiness,Happy Star Wars day!
3194,happiness,"I have seen Star Trek, so now you guys can't spoil it  If you haven't seen it, Go. Go now."
3208,happiness,"study all day.  just finished my care plan.  hungry as hell!  ima go treat myself with a burrito, for a good days work"
3215,happiness,is playing MYBRUTE!  follow me at: http://yhana09.mybrute.com
3225,happiness,"So I got up, went outside planted a few flowers and watched a lee evans DVD. Who knew bank holidays were so fun"
3240,happiness,"we finally got our graduation gear today, i'm so excited. can you believe it? just 41 days left! aaah  and the sweater is so cozy"
3247,happiness,"@fishieee Haha, it'll be gross by the time it comes back.    Tell you what .. we'll Yum! Vancouver some malay spot soon, or just go indian"
3254,happiness,FREE UNLIMITED RINGTONES!!! - http://tinyurl.com/freeringring - USA ONLY - Awesome 4 iphone
3266,happiness,@extremejohn @FLallday @hursty810 Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!
3276,happiness,@JimHunt That smile - the one in your avatar - is that a permanent condition?
3291,happiness,@ninaaacooperrr don't not come in  i love you... and it's your last week and you need to see me..... you're hot
3303,happiness,@AmyQcoocachoo THANK YYYYYYYYYOOOOOOOOOOUUUUU!
3307,happiness,@amygrant Chocolate with peanut butter. One of my favorite combonations
3316,happiness,Listening to olivia play!!  lol!
3319,happiness,@quicheismadness  thanks for following!  pretty complicated id you have there lol
3322,happiness,"And, I'm accumulating money again, so I can use a fancy finance app. Thinking of getting another CD or an IRA.  saving for a house. crazy!"
3329,happiness,@NewYorkChica I understood you pre-coffee tweet  I'm good
3342,happiness,The new view out of my window  http://twitpic.com/4jbx2
3343,happiness,is off to Tagaytay with the family! Happy Mum's Day to all you hot momma's
3344,happiness,100 Followers  Bom Dia!!
3349,happiness,pool party at sherraton n brodi had  a blast! the friends made the evening bbqd at home with great conversation  funky n lifted day!!
3351,happiness,Nevermind! Beyonce doesn't have a Twitter  Haha
3355,happiness,@janevans35 LOL I love my MacBook too. Oh and my iMac. Can't decide which I love more. OK 24&quot; iMac trumps 13&quot; MacBook
3387,happiness,regarde les tant attendues photographies
3397,happiness,Just watched the movie The Holiday. I had forgotten what a feel good movie it was!  Lovely evening.
3408,happiness,just finished baking some cinnamon rolls   soooo yummy!
3416,happiness,"@emma_BMTH i also want to attend the tafe gig  I asked mum about soundwave and she was like, hmmm possibly. which probably means yes."
3432,happiness,Tweetie v helpfully shrinks longer tweet. Brilliant.
3433,happiness,listening to jubey snoring on the phone  hehe goodnight
3441,happiness,@officialTila tilaaa just make you feel so special  haha haters now days
3444,happiness,@parjoy sounds like the muffler bearings are going bad
3449,happiness,@Kelly_StrayCat   haha ty
3454,happiness,@flygirls &quot;Mom set the bar so high I need to learn to fly to reach it!&quot; -- now THAT's an awesome sentiment to read on Mother's Day.
3460,happiness,"@Blanquis26  Morning, hope you have a super day...enjoy !"
3467,happiness,is eating chocolate ready break
3473,happiness,Off to have a sumptuous Mexican meal!
3480,happiness,@SherylLoch You too!   Happy Mom's get to rule and kids have to take it day
3543,happiness,The Eagles make saturday nights so much better.
3572,happiness,Belting Next to Normal is a fabulous evening choice
3591,happiness,"@bkkrakora ew, i used to get &quot;suicides&quot; in high school and mix like 5 sodas together. then drink it. i think i remember enjoying it, too."
3592,happiness,"Home. Should be in the bed, but I'm just super duper excited about tomorrow."
3594,happiness,Gettin ready to hit up the mall w/my mom &amp; Jayden!  DO ALL THINGS W/FAITH!!!!
3603,happiness,show was amazing. so cold out now  hope I can give victoria my card and get my dvds back ;) ha
3605,happiness,About to venture forth to Turkey Creek &amp; fetch the boy after his post prom festivities. Hope he had fun
3619,happiness,ordered my new shirt
3625,happiness,HAPPY STAR WARS DAY EVERYONE  any excuse for a few drinkies eh?
3632,happiness,http://bit.ly/X7D1c  Spanish Grand Prix 2009  in one hour!
3633,happiness,@trekkerguy Have already had a great day!  Enjoy your Weeties!
3657,happiness,@Punisher5643 You Got Twitter Yayy  xxx
3658,happiness,@mrstreme Thanks so much! I will be back on tour soon. Two new books in the pipeline!
3664,happiness,Finally going home! Its been a long night.. Ready to crash and have awesome dreams
3669,happiness,is wondering where all her friends went...
3678,happiness,The voice of Nemo turns 15 today. Thanks #NPR
3684,happiness,Doing some test shooting later this afternoon.  Did I mention being in Holland for an indie wine festival this week? My tongue is red.
3690,happiness,this is my second to last biology and the first time that i have ever been on time. Haha.
3693,happiness,@iPat143  hmm.. idk that song.
3701,happiness,Nothing like home-made paranthas for breakfast
3702,happiness,"alright, so day was going well, but got home, and all my potato salad was gone"
3703,happiness,I'm so proud of my NAU graduate friend!!! We're getting ready to celebrate  tonight!!! It'll be an international ordeal~
3711,happiness,"Done at Disneyland, kid's knocked out, stopped by the hotel bar and grabbed a grey goose &amp; tonic on the way up...peace"
3724,happiness,@jy6 looking forward to your mandarin album.  Hope that you will come Singapore again
3725,happiness,"@JasonBradbury nice on the jet ski testing! Hope the book is going well. Cheers for adding me, got twitter after watching the gadget show"
3726,happiness,@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!
3727,happiness,@ThetaHealerMaya u're welcome...thank YOU for sharing such excellent content
3730,happiness,"@spumante hahaha! Yes, I do"
3748,happiness,THE CURIOUS CASE OF BENJAMIN BUTTON!!!!! I'm so excited about this fucking movie
3757,happiness,the sun is shinning! im off out!!
3768,happiness,"@NeilDavidson happened about three weeks ago. Why, is there a serial card fraudster on the loose?"
3782,happiness,@greenpolkadot99 u go to profile then ill help u from there cause ur right next to me!!! he he he
3787,happiness,nice weather today in Alex
3792,happiness,@DomSoFresh bl MUTHAFUCKIN ah!  I win!
3795,happiness,got alot of runnin around to do today to get this job app completed so they can have it on file... so glad i got this job!!
3796,happiness,Soon my new job starts  I'm so happy!
3797,happiness,Ahhhhh now If You Go Away  by @nkotb is on @retrorewind YAY my other fav song of theirs
3808,happiness,"Oh, and now Mondays also mean new American Dad!  So glad I watched that show, so funny, and it makes Mondays even better"
3815,happiness,@RedRosePetals  God bless that oh-so-sexy rahul picture
3817,happiness,"@robdyrdek my husband wears the same shirt all the time, think you can send some of that this way??"
